,InterCloud,t,lat,lon,current_mag,multiplicity_0,accr,error_elps,num_station,geometry
6630,0,2023-06-16 02:55:17.045,49.497243,-73.321308,27461,0,0,24,5,POINT (-73.321308 49.497243)
6631,0,2023-06-16 02:55:17.045,49.500297,-73.244447,-10710,0,0,21,5,POINT (-73.244447 49.500297)
6632,0,2023-06-16 02:35:17.951,49.509077,-73.271728,-9953,0,0,14,3,POINT (-73.271728 49.509077)
6633,0,2023-06-16 02:44:25.352,49.517794,-73.358188,-11446,0,0,14,1,POINT (-73.358188 49.517794)
6634,0,2023-06-16 01:31:14.310,48.422658,-73.513819,-50930,0,0,26,3,POINT (-73.513819 48.422658)
6635,0,2023-06-16 01:26:17.240,48.428167,-73.520715,-26326,0,0,29,1,POINT (-73.520715 48.428167)
6636,0,2023-06-16 01:18:21.217,48.43689,-73.522451,-11028,0,0,12,4,POINT (-73.522451 48.43689)
6637,0,2023-06-16 01:21:41.005,48.457214,-73.509849,-27895,0,0,30,2,POINT (-73.509849 48.457214)
6638,0,2023-06-16 00:36:38.519,48.431611,-73.64558,-17745,0,0,28,2,POINT (-73.64558 48.431611)
6639,0,2023-06-16 00:37:44.842,48.446761,-73.652599,-20680,0,0,26,1,POINT (-73.652599 48.446761)
6640,0,2023-06-16 01:31:14.320,48.452397,-73.552963,-25547,0,0,24,3,POINT (-73.552963 48.452397)
6641,0,2023-06-16 00:42:26.822,48.45921,-73.618489,4055,0,0,10,2,POINT (-73.618489 48.45921)
6642,0,2023-06-16 00:36:38.519,48.430906,-73.656217,10121,0,0,20,2,POINT (-73.656217 48.430906)
6643,0,2023-06-16 00:40:36.124,48.442046,-73.68382,-36763,0,0,30,2,POINT (-73.68382 48.442046)
6644,0,2023-06-16 00:02:49.235,48.443951,-73.757773,5866,0,0,11,1,POINT (-73.757773 48.443951)
6645,0,2023-06-16 00:38:54.707,48.454006,-73.662438,5413,0,0,9,2,POINT (-73.662438 48.454006)
6646,0,2023-06-16 00:34:13.903,48.458346,-73.67865,-26626,0,0,29,2,POINT (-73.67865 48.458346)
6647,0,2023-06-16 00:32:07.714,48.4643,-73.698,71635,0,0,15,1,POINT (-73.698 48.4643)
6648,0,2023-06-16 00:12:27.593,48.47432,-73.745254,6536,0,0,19,3,POINT (-73.745254 48.47432)
6649,0,2023-06-16 00:22:36.235,48.486202,-73.713516,-37201,0,0,28,3,POINT (-73.713516 48.486202)
6650,0,2023-06-16 00:40:36.150,48.486454,-73.699968,-6366,0,0,9,2,POINT (-73.699968 48.486454)
6651,0,2023-06-16 00:22:36.269,48.486883,-73.734795,-22471,0,0,30,3,POINT (-73.734795 48.486883)
6652,0,2023-06-16 00:08:22.235,48.488092,-73.749431,-47052,0,0,28,1,POINT (-73.749431 48.488092)
6653,0,2023-06-16 00:09:20.403,48.490171,-73.73711,-55636,0,0,35,4,POINT (-73.73711 48.490171)
6654,0,2023-06-16 00:04:50.469,48.490252,-73.72813,6942,0,0,12,1,POINT (-73.72813 48.490252)
6655,0,2023-06-16 00:06:23.485,48.493239,-73.749572,-17526,0,0,25,6,POINT (-73.749572 48.493239)
6656,0,2023-06-16 00:12:27.594,48.495,-73.7015,-31263,0,0,9,3,POINT (-73.7015 48.495)
6657,0,2023-06-16 00:20:42.766,48.497442,-73.726912,24695,0,0,26,3,POINT (-73.726912 48.497442)
6658,0,2023-06-16 00:09:20.540,48.500248,-73.73436,-14629,0,0,26,4,POINT (-73.73436 48.500248)
6659,0,2023-06-16 00:13:36.328,48.501553,-73.757333,-12239,0,0,18,2,POINT (-73.757333 48.501553)
6660,0,2023-06-16 00:09:20.502,48.502624,-73.73912,-9348,0,0,17,4,POINT (-73.73912 48.502624)
6661,0,2023-06-16 00:20:42.767,48.508561,-73.71848,8960,0,0,14,3,POINT (-73.71848 48.508561)
6662,0,2023-06-16 00:06:23.815,48.50906,-73.732254,-29897,0,0,31,6,POINT (-73.732254 48.50906)
6663,0,2023-06-16 00:18:31.050,48.512794,-73.731226,6625,0,0,12,3,POINT (-73.731226 48.512794)
6664,0,2023-06-16 00:20:42.788,48.513786,-73.711797,-11413,0,0,17,3,POINT (-73.711797 48.513786)
6665,0,2023-06-16 00:06:23.925,48.513813,-73.731113,-16166,0,0,23,6,POINT (-73.731113 48.513813)
6666,0,2023-06-16 00:16:15.509,48.525,-73.6917,48909,0,0,8,3,POINT (-73.6917 48.525)
6667,0,2023-06-16 00:15:02.337,48.5276,-73.689,32030,0,0,8,1,POINT (-73.689 48.5276)
6668,0,2023-06-16 00:06:23.861,48.527764,-73.752475,-8003,0,0,18,6,POINT (-73.752475 48.527764)
6669,0,2023-06-16 00:16:15.545,48.531671,-73.733612,-9258,0,0,21,3,POINT (-73.733612 48.531671)
6670,0,2023-06-16 00:12:27.796,48.540795,-73.71828,-7703,0,0,19,3,POINT (-73.71828 48.540795)
6671,0,2023-06-16 00:18:31.051,48.542384,-73.715791,-25859,0,0,21,3,POINT (-73.715791 48.542384)
6672,0,2023-06-16 00:18:31.057,48.616644,-73.759373,-8191,0,0,10,3,POINT (-73.759373 48.616644)
6673,0,2023-06-16 00:22:36.284,48.624538,-73.722635,-7072,0,0,11,1,POINT (-73.722635 48.624538)
6674,0,2023-06-16 00:05:36.482,48.626108,-73.724616,-10041,0,0,16,1,POINT (-73.724616 48.626108)
6675,0,2023-06-16 00:08:22.234,48.758428,-73.68726,-29298,0,0,22,1,POINT (-73.68726 48.758428)
6676,0,2023-06-16 06:11:12.950,47.894716,-59.182277,-27896,0,0,13,1,POINT (-59.182277 47.894716)
6677,0,2023-06-16 06:17:06.309,47.963424,-59.142972,-22070,0,0,12,1,POINT (-59.142972 47.963424)
6678,0,2023-06-16 06:19:49.572,47.999846,-59.112712,-70841,0,0,16,1,POINT (-59.112712 47.999846)
6679,0,2023-06-16 06:35:56.154,48.014,-58.8535,28440,0,0,5,1,POINT (-58.8535 48.014)
6680,0,2023-06-16 06:21:24.840,48.0253,-58.834,59553,0,0,7,2,POINT (-58.834 48.0253)
6681,0,2023-06-16 06:38:26.414,48.029601,-59.462132,-13111,0,0,7,1,POINT (-59.462132 48.029601)
6682,0,2023-06-16 06:23:05.597,48.04102,-59.091851,-14763,0,0,11,1,POINT (-59.091851 48.04102)
6683,0,2023-06-16 06:23:05.409,48.0423,-58.8587,116923,0,0,10,1,POINT (-58.8587 48.0423)
6684,0,2023-06-16 06:21:24.817,48.045197,-58.803029,113581,0,0,20,2,POINT (-58.803029 48.045197)
6685,0,2023-06-16 06:29:25.049,48.0552,-58.9773,51099,0,0,5,1,POINT (-58.9773 48.0552)
6686,0,2023-06-16 06:19:44.360,48.059678,-58.772413,91549,0,0,18,1,POINT (-58.772413 48.059678)
6687,0,2023-06-16 06:27:13.318,48.075788,-59.197268,16640,0,0,9,3,POINT (-59.197268 48.075788)
6688,0,2023-06-16 06:27:13.274,48.076102,-59.192933,17882,0,0,8,3,POINT (-59.192933 48.076102)
6689,0,2023-06-16 06:27:13.212,48.078773,-59.195064,21888,0,0,8,3,POINT (-59.195064 48.078773)
6690,0,2023-06-16 06:35:56.097,48.1052,-58.9274,67829,0,0,10,1,POINT (-58.9274 48.1052)
6691,0,2023-06-16 06:35:56.120,48.128399,-59.14185,36099,0,0,13,1,POINT (-59.14185 48.128399)
6692,0,2023-06-16 06:48:00.005,48.131978,-59.279186,-16798,0,0,9,1,POINT (-59.279186 48.131978)
6693,0,2023-06-16 06:33:30.258,48.146421,-59.080678,-42456,0,0,16,1,POINT (-59.080678 48.146421)
6694,0,2023-06-16 06:38:26.118,48.225296,-58.722694,66937,0,0,15,1,POINT (-58.722694 48.225296)
6695,0,2023-06-16 06:46:14.456,48.255381,-58.950795,-35796,0,0,12,1,POINT (-58.950795 48.255381)
6696,0,2023-06-16 06:46:14.453,48.264957,-58.741928,41482,0,0,13,1,POINT (-58.741928 48.264957)
6697,0,2023-06-16 06:40:13.405,48.29501,-58.671944,42066,0,0,11,1,POINT (-58.671944 48.29501)
6698,0,2023-06-16 06:50:28.236,48.317593,-58.819455,21143,0,0,15,1,POINT (-58.819455 48.317593)
6699,0,2023-06-16 06:52:02.959,48.319087,-58.854447,-14667,0,0,9,2,POINT (-58.854447 48.319087)
6700,0,2023-06-16 06:52:02.957,48.323681,-58.833836,21388,0,0,8,2,POINT (-58.833836 48.323681)
6701,0,2023-06-16 06:52:49.196,48.324832,-58.938775,22327,0,0,11,1,POINT (-58.938775 48.324832)
6702,0,2023-06-16 06:56:48.397,48.335196,-58.97981,18759,0,0,12,2,POINT (-58.97981 48.335196)
6703,0,2023-06-16 06:56:48.163,48.3379,-58.766,71779,0,0,8,1,POINT (-58.766 48.3379)
6704,0,2023-06-16 06:56:48.374,48.343772,-58.967179,22826,0,0,12,2,POINT (-58.967179 48.343772)
6705,0,2023-06-16 06:55:48.966,48.374006,-58.655598,46061,0,0,17,1,POINT (-58.655598 48.374006)
6706,0,2023-06-16 07:02:04.180,48.379675,-58.957286,17393,0,0,10,1,POINT (-58.957286 48.379675)
6707,0,2023-06-16 06:51:17.435,48.382828,-58.619936,25758,0,0,13,1,POINT (-58.619936 48.382828)
6708,0,2023-06-16 07:07:25.305,48.39739,-59.068206,-16355,0,0,8,1,POINT (-59.068206 48.39739)
6709,0,2023-06-16 07:19:20.498,48.820915,-57.707978,29760,0,0,11,1,POINT (-57.707978 48.820915)
6710,0,2023-06-17 23:00:37.257,44.571778,-66.038626,55048,0,0,22,1,POINT (-66.038626 44.571778)
6711,0,2023-06-17 22:59:31.145,44.573965,-66.051705,-20266,0,0,21,3,POINT (-66.051705 44.573965)
6712,0,2023-06-17 22:55:06.430,44.52223,-65.987409,19825,0,0,18,10,POINT (-65.987409 44.52223)
6713,0,2023-06-17 22:55:06.321,44.522998,-66.025967,24179,0,0,11,10,POINT (-66.025967 44.522998)
6714,0,2023-06-17 23:03:22.467,44.604679,-66.029552,14342,0,0,9,3,POINT (-66.029552 44.604679)
6715,0,2023-06-17 23:03:22.385,44.623329,-66.055913,8150,0,0,12,3,POINT (-66.055913 44.623329)
6716,0,2023-06-17 22:39:05.172,44.300804,-65.867485,-5783,0,0,6,5,POINT (-65.867485 44.300804)
6717,0,2023-06-17 22:39:05.102,44.308602,-65.878607,75175,0,0,18,5,POINT (-65.878607 44.308602)
6718,0,2023-06-17 22:39:05.091,44.340814,-65.909566,15425,0,0,12,5,POINT (-65.909566 44.340814)
6719,0,2023-06-17 22:39:05.086,44.341788,-65.866286,20023,0,0,10,5,POINT (-65.866286 44.341788)
6720,0,2023-06-17 23:22:22.518,44.348263,-65.832656,126531,0,0,19,3,POINT (-65.832656 44.348263)
6721,0,2023-06-17 22:59:31.208,44.416073,-66.006814,-7767,0,0,15,6,POINT (-66.006814 44.416073)
6722,0,2023-06-17 23:22:22.740,44.430404,-65.84514,-7831,0,0,9,3,POINT (-65.84514 44.430404)
6723,0,2023-06-17 22:55:06.302,44.456627,-65.932337,-5038,0,0,9,10,POINT (-65.932337 44.456627)
6724,0,2023-06-17 22:51:17.877,44.478708,-65.999947,26224,0,0,10,7,POINT (-65.999947 44.478708)
6725,0,2023-06-17 23:33:11.420,44.255374,-65.112082,-6697,0,0,12,4,POINT (-65.112082 44.255374)
6726,0,2023-06-17 23:29:40.824,44.269027,-65.02655,8714,0,0,15,1,POINT (-65.02655 44.269027)
6727,0,2023-06-17 23:08:40.966,44.265081,-64.830242,30276,0,0,16,2,POINT (-64.830242 44.265081)
6728,0,2023-06-17 23:36:51.543,44.382176,-64.878896,23288,0,0,19,3,POINT (-64.878896 44.382176)
6729,0,2023-06-17 23:33:11.110,44.321211,-65.036233,9958,0,0,12,4,POINT (-65.036233 44.321211)
6730,0,2023-06-17 23:33:11.110,44.339655,-65.02183,6168,0,0,7,4,POINT (-65.02183 44.339655)
6731,0,2023-06-17 23:39:09.277,44.387363,-64.946708,35946,0,0,23,1,POINT (-64.946708 44.387363)
6732,0,2023-06-17 23:37:50.760,44.392349,-64.943256,43507,0,0,16,1,POINT (-64.943256 44.392349)
6733,0,2023-06-17 07:43:34.138,45.538054,-69.093843,15842,0,0,22,3,POINT (-69.093843 45.538054)
6734,0,2023-06-17 07:43:34.077,45.539177,-69.055921,47297,0,0,25,3,POINT (-69.055921 45.539177)
6735,0,2023-06-17 07:43:34.057,45.551575,-69.066532,14455,0,0,12,3,POINT (-69.066532 45.551575)
6736,0,2023-06-17 00:00:08.651,44.750679,-71.043795,-5956,0,0,16,3,POINT (-71.043795 44.750679)
6737,0,2023-06-17 00:00:08.617,44.75436,-71.006304,-10064,0,0,19,3,POINT (-71.006304 44.75436)
6738,0,2023-06-17 00:00:08.593,44.755171,-71.022489,-11986,0,0,17,3,POINT (-71.022489 44.755171)
6739,0,2023-06-17 00:05:43.818,44.75702,-71.036696,23888,0,0,32,7,POINT (-71.036696 44.75702)
6740,0,2023-06-17 00:08:11.333,44.760158,-71.036963,-13372,0,0,24,4,POINT (-71.036963 44.760158)
6741,0,2023-06-17 00:05:43.819,44.765613,-71.018306,11190,0,0,22,7,POINT (-71.018306 44.765613)
6742,0,2023-06-17 00:13:57.480,44.768964,-71.006876,14052,0,0,28,6,POINT (-71.006876 44.768964)
6743,0,2023-06-17 00:13:57.540,44.8037,-71.0386,33843,0,0,6,6,POINT (-71.0386 44.8037)
6744,0,2023-06-17 02:11:46.538,44.376357,-73.129868,85680,0,0,31,8,POINT (-73.129868 44.376357)
6745,0,2023-06-17 02:11:46.518,44.382532,-73.186888,-4373,0,0,15,8,POINT (-73.186888 44.382532)
6746,0,2023-06-17 02:11:46.493,44.420709,-73.11816,20851,0,0,15,8,POINT (-73.11816 44.420709)
6747,0,2023-06-17 02:11:46.509,44.423929,-73.115511,14517,0,0,18,8,POINT (-73.115511 44.423929)
6748,0,2023-06-17 00:45:03.473,45.072028,-73.115898,-16670,0,0,31,4,POINT (-73.115898 45.072028)
6749,0,2023-06-17 00:51:23.149,45.07217,-73.02399,-13423,0,0,26,4,POINT (-73.02399 45.07217)
6750,0,2023-06-17 00:49:09.039,45.091076,-73.046914,-6323,0,0,16,1,POINT (-73.046914 45.091076)
6751,0,2023-06-17 02:24:47.967,44.808662,-72.810878,-28072,0,0,25,2,POINT (-72.810878 44.808662)
6752,0,2023-06-17 00:02:53.170,44.325486,-71.915497,-49017,0,0,16,3,POINT (-71.915497 44.325486)
6753,0,2023-06-17 00:13:26.950,44.351139,-71.904007,20338,0,0,30,5,POINT (-71.904007 44.351139)
6754,0,2023-06-17 00:09:04.822,44.353702,-71.915435,-12033,0,0,26,2,POINT (-71.915435 44.353702)
6755,0,2023-06-17 00:13:26.951,44.354025,-71.903958,8383,0,0,17,5,POINT (-71.903958 44.354025)
6756,0,2023-06-17 16:54:10.312,44.2587,-72.277461,-8903,0,0,25,4,POINT (-72.277461 44.2587)
6757,0,2023-06-17 15:56:04.032,44.325753,-72.074341,-6490,0,0,22,6,POINT (-72.074341 44.325753)
6758,0,2023-06-17 16:16:19.410,44.367866,-72.118342,-3890,0,0,19,12,POINT (-72.118342 44.367866)
6759,0,2023-06-17 16:16:19.419,44.369771,-72.115584,-6554,0,0,25,12,POINT (-72.115584 44.369771)
